minecraft:missingno	x=1152	y=0	w=16	h=16
minecraft:trims/entity/humanoid/bolt_amethyst	x=0	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_copper	x=0	y=32	w=64	h=32
minecraft:trims/entity/humanoid/bolt_copper_darker	x=64	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_diamond	x=64	y=32	w=64	h=32
minecraft:trims/entity/humanoid/bolt_diamond_darker	x=0	y=64	w=64	h=32
minecraft:trims/entity/humanoid/bolt_emerald	x=64	y=64	w=64	h=32
minecraft:trims/entity/humanoid/bolt_gold	x=0	y=96	w=64	h=32
minecraft:trims/entity/humanoid/bolt_gold_darker	x=64	y=96	w=64	h=32
minecraft:trims/entity/humanoid/bolt_iron	x=128	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_iron_darker	x=128	y=32	w=64	h=32
minecraft:trims/entity/humanoid/bolt_lapis	x=128	y=64	w=64	h=32
minecraft:trims/entity/humanoid/bolt_netherite	x=128	y=96	w=64	h=32
minecraft:trims/entity/humanoid/bolt_netherite_darker	x=192	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_quartz	x=192	y=32	w=64	h=32
minecraft:trims/entity/humanoid/bolt_redstone	x=192	y=64	w=64	h=32
minecraft:trims/entity/humanoid/bolt_resin	x=192	y=96	w=64	h=32
minecraft:trims/entity/humanoid/coast_amethyst	x=0	y=128	w=64	h=32
minecraft:trims/entity/humanoid/coast_copper	x=64	y=128	w=64	h=32
minecraft:trims/entity/humanoid/coast_copper_darker	x=128	y=128	w=64	h=32
minecraft:trims/entity/humanoid/coast_diamond	x=192	y=128	w=64	h=32
minecraft:trims/entity/humanoid/coast_diamond_darker	x=0	y=160	w=64	h=32
minecraft:trims/entity/humanoid/coast_emerald	x=64	y=160	w=64	h=32
minecraft:trims/entity/humanoid/coast_gold	x=128	y=160	w=64	h=32
minecraft:trims/entity/humanoid/coast_gold_darker	x=192	y=160	w=64	h=32
minecraft:trims/entity/humanoid/coast_iron	x=0	y=192	w=64	h=32
minecraft:trims/entity/humanoid/coast_iron_darker	x=64	y=192	w=64	h=32
minecraft:trims/entity/humanoid/coast_lapis	x=128	y=192	w=64	h=32
minecraft:trims/entity/humanoid/coast_netherite	x=192	y=192	w=64	h=32
minecraft:trims/entity/humanoid/coast_netherite_darker	x=0	y=224	w=64	h=32
minecraft:trims/entity/humanoid/coast_quartz	x=64	y=224	w=64	h=32
minecraft:trims/entity/humanoid/coast_redstone	x=128	y=224	w=64	h=32
minecraft:trims/entity/humanoid/coast_resin	x=192	y=224	w=64	h=32
minecraft:trims/entity/humanoid/dune_amethyst	x=256	y=0	w=64	h=32
minecraft:trims/entity/humanoid/dune_copper	x=256	y=32	w=64	h=32
minecraft:trims/entity/humanoid/dune_copper_darker	x=256	y=64	w=64	h=32
minecraft:trims/entity/humanoid/dune_diamond	x=256	y=96	w=64	h=32
minecraft:trims/entity/humanoid/dune_diamond_darker	x=256	y=128	w=64	h=32
minecraft:trims/entity/humanoid/dune_emerald	x=256	y=160	w=64	h=32
minecraft:trims/entity/humanoid/dune_gold	x=256	y=192	w=64	h=32
minecraft:trims/entity/humanoid/dune_gold_darker	x=256	y=224	w=64	h=32
minecraft:trims/entity/humanoid/dune_iron	x=320	y=0	w=64	h=32
minecraft:trims/entity/humanoid/dune_iron_darker	x=320	y=32	w=64	h=32
minecraft:trims/entity/humanoid/dune_lapis	x=320	y=64	w=64	h=32
minecraft:trims/entity/humanoid/dune_netherite	x=320	y=96	w=64	h=32
minecraft:trims/entity/humanoid/dune_netherite_darker	x=320	y=128	w=64	h=32
minecraft:trims/entity/humanoid/dune_quartz	x=320	y=160	w=64	h=32
minecraft:trims/entity/humanoid/dune_redstone	x=320	y=192	w=64	h=32
minecraft:trims/entity/humanoid/dune_resin	x=320	y=224	w=64	h=32
minecraft:trims/entity/humanoid/eye_amethyst	x=384	y=0	w=64	h=32
minecraft:trims/entity/humanoid/eye_copper	x=384	y=32	w=64	h=32
minecraft:trims/entity/humanoid/eye_copper_darker	x=384	y=64	w=64	h=32
minecraft:trims/entity/humanoid/eye_diamond	x=384	y=96	w=64	h=32
minecraft:trims/entity/humanoid/eye_diamond_darker	x=384	y=128	w=64	h=32
minecraft:trims/entity/humanoid/eye_emerald	x=384	y=160	w=64	h=32
minecraft:trims/entity/humanoid/eye_gold	x=384	y=192	w=64	h=32
minecraft:trims/entity/humanoid/eye_gold_darker	x=384	y=224	w=64	h=32
minecraft:trims/entity/humanoid/eye_iron	x=448	y=0	w=64	h=32
minecraft:trims/entity/humanoid/eye_iron_darker	x=448	y=32	w=64	h=32
minecraft:trims/entity/humanoid/eye_lapis	x=448	y=64	w=64	h=32
minecraft:trims/entity/humanoid/eye_netherite	x=448	y=96	w=64	h=32
minecraft:trims/entity/humanoid/eye_netherite_darker	x=448	y=128	w=64	h=32
minecraft:trims/entity/humanoid/eye_quartz	x=448	y=160	w=64	h=32
minecraft:trims/entity/humanoid/eye_redstone	x=448	y=192	w=64	h=32
minecraft:trims/entity/humanoid/eye_resin	x=448	y=224	w=64	h=32
minecraft:trims/entity/humanoid/flow_amethyst	x=0	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_copper	x=64	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_copper_darker	x=128	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_diamond	x=192	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_diamond_darker	x=256	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_emerald	x=320	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_gold	x=384	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_gold_darker	x=448	y=256	w=64	h=32
minecraft:trims/entity/humanoid/flow_iron	x=0	y=288	w=64	h=32
minecraft:trims/entity/humanoid/flow_iron_darker	x=64	y=288	w=64	h=32
minecraft:trims/entity/humanoid/flow_lapis	x=128	y=288	w=64	h=32
minecraft:trims/entity/humanoid/flow_netherite	x=192	y=288	w=64	h=32
minecraft:trims/entity/humanoid/flow_netherite_darker	x=256	y=288	w=64	h=32
minecraft:trims/entity/humanoid/flow_quartz	x=320	y=288	w=64	h=32
minecraft:trims/entity/humanoid/flow_redstone	x=384	y=288	w=64	h=32
minecraft:trims/entity/humanoid/flow_resin	x=448	y=288	w=64	h=32
minecraft:trims/entity/humanoid/host_amethyst	x=0	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_copper	x=64	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_copper_darker	x=128	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_diamond	x=192	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_diamond_darker	x=256	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_emerald	x=320	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_gold	x=384	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_gold_darker	x=448	y=320	w=64	h=32
minecraft:trims/entity/humanoid/host_iron	x=0	y=352	w=64	h=32
minecraft:trims/entity/humanoid/host_iron_darker	x=64	y=352	w=64	h=32
minecraft:trims/entity/humanoid/host_lapis	x=128	y=352	w=64	h=32
minecraft:trims/entity/humanoid/host_netherite	x=192	y=352	w=64	h=32
minecraft:trims/entity/humanoid/host_netherite_darker	x=256	y=352	w=64	h=32
minecraft:trims/entity/humanoid/host_quartz	x=320	y=352	w=64	h=32
minecraft:trims/entity/humanoid/host_redstone	x=384	y=352	w=64	h=32
minecraft:trims/entity/humanoid/host_resin	x=448	y=352	w=64	h=32
minecraft:trims/entity/humanoid/raiser_amethyst	x=0	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_copper	x=64	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_copper_darker	x=128	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_diamond	x=192	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_diamond_darker	x=256	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_emerald	x=320	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_gold	x=384	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_gold_darker	x=448	y=384	w=64	h=32
minecraft:trims/entity/humanoid/raiser_iron	x=0	y=416	w=64	h=32
minecraft:trims/entity/humanoid/raiser_iron_darker	x=64	y=416	w=64	h=32
minecraft:trims/entity/humanoid/raiser_lapis	x=128	y=416	w=64	h=32
minecraft:trims/entity/humanoid/raiser_netherite	x=192	y=416	w=64	h=32
minecraft:trims/entity/humanoid/raiser_netherite_darker	x=256	y=416	w=64	h=32
minecraft:trims/entity/humanoid/raiser_quartz	x=320	y=416	w=64	h=32
minecraft:trims/entity/humanoid/raiser_redstone	x=384	y=416	w=64	h=32
minecraft:trims/entity/humanoid/raiser_resin	x=448	y=416	w=64	h=32
minecraft:trims/entity/humanoid/rib_amethyst	x=0	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_copper	x=64	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_copper_darker	x=128	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_diamond	x=192	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_diamond_darker	x=256	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_emerald	x=320	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_gold	x=384	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_gold_darker	x=448	y=448	w=64	h=32
minecraft:trims/entity/humanoid/rib_iron	x=0	y=480	w=64	h=32
minecraft:trims/entity/humanoid/rib_iron_darker	x=64	y=480	w=64	h=32
minecraft:trims/entity/humanoid/rib_lapis	x=128	y=480	w=64	h=32
minecraft:trims/entity/humanoid/rib_netherite	x=192	y=480	w=64	h=32
minecraft:trims/entity/humanoid/rib_netherite_darker	x=256	y=480	w=64	h=32
minecraft:trims/entity/humanoid/rib_quartz	x=320	y=480	w=64	h=32
minecraft:trims/entity/humanoid/rib_redstone	x=384	y=480	w=64	h=32
minecraft:trims/entity/humanoid/rib_resin	x=448	y=480	w=64	h=32
minecraft:trims/entity/humanoid/sentry_amethyst	x=512	y=0	w=64	h=32
minecraft:trims/entity/humanoid/sentry_copper	x=512	y=32	w=64	h=32
minecraft:trims/entity/humanoid/sentry_copper_darker	x=512	y=64	w=64	h=32
minecraft:trims/entity/humanoid/sentry_diamond	x=512	y=96	w=64	h=32
minecraft:trims/entity/humanoid/sentry_diamond_darker	x=512	y=128	w=64	h=32
minecraft:trims/entity/humanoid/sentry_emerald	x=512	y=160	w=64	h=32
minecraft:trims/entity/humanoid/sentry_gold	x=512	y=192	w=64	h=32
minecraft:trims/entity/humanoid/sentry_gold_darker	x=512	y=224	w=64	h=32
